,arabic,bengali,cantonese,english,french,german,hausa,hindustani,italian,japanese,javanese,korean,malay,mandarin_chinese,marathi,persian,portuguese,punjabi,russian,spanish,swahili,tamil,telugu,turkish,vietnamse,wu_chinese
Angola,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68377104.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ArabicMiddleEast,94591971.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ArabicWestAfrica,2968034.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AustrailiaNewZealand,0.00,0.00,0.00,17569411.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BalkanPeninsula,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48438408.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brazil,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,199716442.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BritishIsles,0.00,0.00,0.00,6736279.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Canada,0.00,0.00,0.00,20635062.08,7694429.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Caribbean,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56075.42,0.00,0.00,0.00,0.00,0.00,0.00
CentralAmerica,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,128167645.15,0.00,0.00,0.00,0.00,0.00,0.00
ChineseAsia,0.00,0.00,7081715.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,896909235.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84902830.44
EastAfrica,0.00,0.00,0.00,39938156.01,57405.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EasternEurope,0.00,0.00,0.00,0.00,0.00,1071862.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140132392.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FrenchEurope,0.00,0.00,0.00,0.00,10658389.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FrenchWestAfrica,0.00,0.00,0.00,0.00,57129955.88,0.00,69184221.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GermanEurope,0.00,0.00,0.00,0.00,0.00,7704061.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IndianSubcontinent,0.00,216054905.70,0.00,0.00,0.00,0.00,0.00,368314635.94,0.00,0.00,0.00,0.00,0.00,0.00,82078001.21,0.00,0.00,135804006.62,0.00,0.00,0.00,0.00,84592926.04,0.00,0.00,0.00
ItalianEurope,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54178183.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
