100,arabic,bengali,cantonese,english,french,german,hausa,hindustani,italian,japanese,javanese,korean,malay,mandarin_chinese,marathi,persian,portuguese,punjabi,russian,spanish,swahili,tamil,telugu,turkish,vietnamse,wu_chinese
Angola,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,16592083.01,100,100,100,100,100,100,100,100,100
ArabicMiddleEast,107508542.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ArabicWestAfrica,3001060.25,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AustrailiaNewZealand,100,100,100,20880077.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BalkanPeninsula,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,46929377.28,100,100,100,100,100,100,100,100,100,100
Brazil,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,176903574.3,100,100,100,100,100,100,100,100,100
BritishIsles,100,100,100,7634508.19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Canada,100,100,100,20063111.66,7481160.28,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Caribbean,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,45079.07,100,100,100,100,100,100
CentralAmerica,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,114972562.2,100,100,100,100,100,100
ChineseAsia,100,100,6681113.2,100,100,100,100,100,100,100,100,100,100,846172376.5,100,100,100,100,100,100,100,100,100,100,100,80100000
EastAfrica,100,100,100,35421583.35,50913.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
EasternEurope,100,100,100,100,100,1100002.53,100,100,100,100,100,100,100,100,100,100,100,100,143811349.2,100,100,100,100,100,100,100
FrenchEurope,100,100,100,100,13016220.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
FrenchWestAfrica,100,100,100,100,51800444.07,100,62730197.27,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GermanEurope,100,100,100,100,100,8560000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
IndianSubcontinent,100,189000000,100,100,100,100,100,322193407.1,100,100,100,100,100,100,71800000,100,100,118798308.1,100,100,100,100,74000000,100,100,100
ItalianEurope,100,100,100,100,100,100,100,100,63800000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Japan,100,100,100,100,100,100,100,100,100,128000000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Korea,100,100,100,100,100,100,100,100,100,100,100,77200000,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Madagascar,100,100,100,100,3602174.94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Melanesia,100,100,100,100,100,100,100,1806592.88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
MiddleAfrica,100,100,100,100,12234.32,100,22269802.73,100,100,100,100,100,100,100,100,100,100,100,100,100,4106507.16,100,100,100,100,100
NordicCountries,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1414027.28,100,100,100,100,100,100,100
NorthAfrica,169469059.6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PersianMiddleEast,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,23042533.6,100,100,100,100,100,100,100,100,100,100
Portugal,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,9504342.69,100,100,100,100,100,100,100,100,100
RussianAsia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,5099512.2,100,100,100,100,100,100,100
Somalia,10021337.43,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SoutheastAsia,100,100,100,100,100,100,100,100,100,100,84300000,100,609207.84,100,100,100,100,100,100,100,100,152301.96,100,100,67800000,100
SouthernAfrica,100,100,100,6615646.83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Spain,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,34466903.78,100,100,100,100,100,100
SpanishSouthAmerica,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,61606605.96,100,100,100,100,100,100
Tajikistan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,13070622.72,100,100,100,100,100,100,100,100,100,100
TurkishMiddleEast,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,70900000,100,100
USA,100,100,100,244385072.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
