,arabic,bengali,cantonese,english,french,german,hausa,hindustani,italian,japanese,javanese,korean,malay,mandarin_chinese,marathi,persian,portuguese,punjabi,russian,spanish,swahili,tamil,telugu,turkish,vietnamse,wu_chinese
Angola,10000,10000,10000,10000,10000,1471625.43,2391481.09,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,3460467.97,10000,10000,10000,10000,10000
ArabicMiddleEast,10000,10000,10000,44504.28,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9580134.84,10000,10000,163181.53,10000,10000,10000,10000,10000,10000,10000
ArabicWestAfrica,10000,10000,10000,958274.49,10000,10000,369382.75,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,534496.04,10000,10000,10000,10000,10000
AustrailiaNewZealand,220317.5,10000,220317.5,10000,43507,10000,10000,10000,220317.5,10000,10000,10000,3186288.18,440635,10000,1954637.67,10000,10000,10000,10000,10000,10000,10000,10000,8837.54,10000
BalkanPeninsula,10000,10000,10000,24870.48,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,15089656.64,10000,10000,10000,10000,82829.56,10000,10000
Brazil,10000,10000,10000,52246182.89,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
BritishIsles,10000,10000,10000,10000,10724041.23,4259504.65,10000,14650139.92,132465.52,10000,10000,16276,10000,10000,28935.19,4994057.19,10000,10000,37072101.88,10000,10000,10000,10000,10000,10000,10000
Canada,340052.74,10000,340052.74,9027842.72,10000,340052.74,10000,10000,340052.74,19260.52,10000,10000,10000,10000,10000,10000,10000,340052.74,10000,340052.74,10000,10000,10000,10000,10000,10000
Caribbean,10000,10000,10000,162723.85,10273.51,10000,10000,10000,10000,10000,10000,10000,10000,2033.38,10000,10000,508648.73,10000,10000,10000,10000,10000,10000,10000,10000,10000
CentralAmerica,10000,10000,10000,202613.04,6503491.76,9648.24,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,1997816.64,10000,10000,99243421.04,10000,10000,10000,10000,10000,10000
ChineseAsia,10000,10000,10000,297077.07,10000,10000,10000,10000,10000,763492.44,10000,1830929,162799473.7,846172376.5,578638.16,10000,5369.69,10000,10000,10000,10000,10000,10000,10000,451543.31,10000
EastAfrica,36251755.73,10000,10000,281489.16,10000,10000,32004692.88,10000,10000,10000,10000,10000,10000,10000,10000,10000,2664354.55,10000,10000,10000,10000,10000,10000,72089.35,10000,10000
EasternEurope,34000650.29,10000,10000,1600003.68,100000.23,18535494.66,10000,10000,576431.82,10000,10000,10000,10000,10000,10000,21731944.87,10000,10000,10000,10000,10000,10000,10000,591647.92,10000,10000
FrenchEurope,10000,10000,10000,10139.06,10000,124164.45,10000,10000,15208.59,10000,10000,10000,10000,10000,10000,10000,81112.48,10000,10000,10000,10000,10000,10000,10000,10000,10000
FrenchWestAfrica,10000,10000,10000,789625,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,45040686.25,10000,10000,10000,10000,10000
GermanEurope,10000,10000,10000,391245.45,1799729.07,10000,10000,10000,626352.75,10000,10000,10000,10000,10000,10000,10000,312996.36,10000,63036561.11,156498.18,10000,10000,10000,167268.08,10000,10000
IndianSubcontinent,10000,19000000,10000,425285288.9,10000,10000,10000,10000,10000,10000,10000,10000,36929420.73,10000,10000,10000,10000,10000,10000,10000,10000,77480261.46,12000000,10000,536610.29,10000
ItalianEurope,10000,10000,10000,17683390.08,18580967.79,4209054.49,10000,10000,10000,10000,10000,10000,10000,10000,3000000,10000,828810.6,10000,10000,10000,10000,10000,10000,15353.58,10000,10000
Japan,10000,10000,10000,34000485.25,10000,10000,10000,10000,10000,10000,10000,700000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,3166667.896
Korea,10000,10000,10000,19684470.63,10000,10000,10000,10000,10000,41995.98,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,1833332.104
Madagascar,10000,10000,10000,10000,10000,10000,2164554.05,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,3132105.03,10000,10000,10000,10000,10000
