,k,destRegion,originRegion,migrations,originPop,destPop
1,0,Angola,Angola,0,23369131,23369131
2,0,Angola,NordicCountries,0,32140303,23369131
3,0,Angola,Madagascar,0,21151640,23369131
4,0,Angola,Canada,0,34168668,23369131
5,0,Angola,FrenchEurope,0,74473368,23369131
6,0,Angola,IndianSubcontinent,0,1602003617,23369131
7,0,Angola,Tajikistan,0,7641630,23369131
8,0,Angola,NorthAfrica,0,204310190,23369131
9,0,Angola,RussianAsia,0,55514817,23369131
10,0,Angola,ArabicWestAfrica,0,3609543,23369131
11,0,Angola,SoutheastAsia,0,597327771,23369131
12,0,Angola,ChineseAsia,0,1393132348,23369131
13,0,Angola,EasternEurope,0,294540681,23369131
14,7.52E-08,Angola,FrenchWestAfrica,667.5,304171621,23369131
15,0,Angola,ItalianEurope,0,66998485,23369131
16,0,Angola,BalkanPeninsula,0,29503649,23369131
17,0,Angola,AustrailiaNewZealand,0,26490126,23369131
18,0,Angola,BritishIsles,0,68013843,23369131
19,0,Angola,Somalia,0,12053223,23369131
20,0,Angola,Melanesia,0,8983311,23369131
21,2.48E-07,Angola,MiddleAfrica,903.2,107982268,23369131
22,1.91E-06,Angola,Portugal,951.6,10652321,23369131
23,0,Angola,Spain,0,46788630,23369131
24,0,Angola,SpanishSouthAmerica,0,198483935,23369131
25,0,Angola,CentralAmerica,0,160556595,23369131
26,0,Angola,Caribbean,0,41724731,23369131
27,0,Angola,Korea,0,74144454,23369131
28,0,Angola,Brazil,0,196796269,23369131
29,0,Angola,GermanEurope,0,113855625,23369131
30,0,Angola,Japan,0,128551873,23369131
31,1.43E-09,Angola,EastAfrica,13.2,313782635,23369131
32,0,Angola,TurkishMiddleEast,0,103089615,23369131
33,0,Angola,USA,0,308711621,23369131
34,0,Angola,ArabicMiddleEast,0,129648409,23369131
35,0,Angola,PersianMiddleEast,0,103370678,23369131
36,0,Angola,SouthernAfrica,0,59016093,23369131
37,2.47E-08,ArabicMiddleEast,FrenchWestAfrica,407.4,304171621,129648409
38,0,ArabicMiddleEast,Madagascar,0.4,21151640,129648409
39,1.43E-08,ArabicMiddleEast,Korea,70.4,74144454,129648409
40,1.26E-05,ArabicMiddleEast,NorthAfrica,147109,204310190,129648409
41,8.49E-06,ArabicMiddleEast,Somalia,8698.2,12053223,129648409
42,2.71E-07,ArabicMiddleEast,FrenchEurope,1329.9,74473368,129648409
43,1.01E-07,ArabicMiddleEast,SpanishSouthAmerica,1152.7,198483935,129648409
44,5.27E-10,ArabicMiddleEast,CentralAmerica,5.6,160556595,129648409
45,1.20E-07,ArabicMiddleEast,Canada,300.3,34168668,129648409
46,-4.01E-07,ArabicMiddleEast,RussianAsia,-1526.5,55514817,129648409
47,8.65E-07,ArabicMiddleEast,BritishIsles,3924.1,68013843,129648409
48,2.00E-06,ArabicMiddleEast,SoutheastAsia,58914.3,597327771,129648409
49,2.32E-07,ArabicMiddleEast,EastAfrica,3914.8,313782635,129648409
50,3.39E-07,ArabicMiddleEast,GermanEurope,2398.7,113855625,129648409
51,3.18E-06,ArabicMiddleEast,Tajikistan,2199,7641630,129648409
52,1.12E-06,ArabicMiddleEast,BalkanPeninsula,2483,29503649,129648409
53,5.28E-08,ArabicMiddleEast,SouthernAfrica,212.6,59016093,129648409
54,9.95E-09,ArabicMiddleEast,Japan,78.9,128551873,129648409
55,2.17E-09,ArabicMiddleEast,Portugal,2.8,10652321,129648409
56,5.51E-08,ArabicMiddleEast,ArabicWestAfrica,20.5,3609543,129648409
57,1.34E-06,ArabicMiddleEast,NordicCountries,3181.2,32140303,129648409
58,5.26E-08,ArabicMiddleEast,MiddleAfrica,355.1,107982268,129648409
59,1.34E-09,ArabicMiddleEast,Caribbean,4.6,41724731,129648409
60,6.90E-08,ArabicMiddleEast,Spain,227.5,46788630,129648409
61,2.79E-07,ArabicMiddleEast,USA,4643.3,308711621,129648409
62,1.54E-07,ArabicMiddleEast,AustrailiaNewZealand,311.3,26490126,129648409
63,0,ArabicMiddleEast,Melanesia,0.2,8983311,129648409
64,6.52E-08,ArabicMiddleEast,ItalianEurope,292.9,66998485,129648409
65,0,ArabicMiddleEast,Angola,0,23369131,129648409
66,6.99E-09,ArabicMiddleEast,Brazil,79.3,196796269,129648409
67,3.72E-05,ArabicMiddleEast,ArabicMiddleEast,294064.5,129648409,129648409
68,3.89E-06,ArabicMiddleEast,PersianMiddleEast,25294.6,103370678,129648409
69,3.20E-06,ArabicMiddleEast,EasternEurope,51158.3,294540681,129648409
70,4.64E-06,ArabicMiddleEast,TurkishMiddleEast,30104.2,103089615,129648409
71,1.12E-07,ArabicMiddleEast,ChineseAsia,6835.4,1393132348,129648409
72,6.77E-06,ArabicMiddleEast,IndianSubcontinent,464793.5,1602003617,129648409
73,2.06E-09,ArabicWestAfrica,GermanEurope,4.5,113855625,3609543
74,4.54E-10,ArabicWestAfrica,EasternEurope,2.2,294540681,3609543
75,5.16E-08,ArabicWestAfrica,NorthAfrica,166.3,204310190,3609543
76,0,ArabicWestAfrica,AustrailiaNewZealand,0,26490126,3609543
77,2.97E-09,ArabicWestAfrica,Korea,4.4,74144454,3609543
78,2.39E-08,ArabicWestAfrica,ArabicMiddleEast,52.8,129648409,3609543
79,2.43E-09,ArabicWestAfrica,ItalianEurope,3.6,66998485,3609543
80,0,ArabicWestAfrica,CentralAmerica,0,160556595,3609543
81,7.12E-07,ArabicWestAfrica,FrenchWestAfrica,3226.7,304171621,3609543
82,6.81E-08,ArabicWestAfrica,FrenchEurope,92.1,74473368,3609543
83,4.34E-09,ArabicWestAfrica,Canada,3.3,34168668,3609543
84,0,ArabicWestAfrica,Somalia,0,12053223,3609543
85,1.88E-08,ArabicWestAfrica,MiddleAfrica,35.7,107982268,3609543
86,0,ArabicWestAfrica,SoutheastAsia,0,597327771,3609543
87,5.52E-09,ArabicWestAfrica,Spain,5.4,46788630,3609543
88,0,ArabicWestAfrica,IndianSubcontinent,0.5,1602003617,3609543
89,1.91E-09,ArabicWestAfrica,SpanishSouthAmerica,6.1,198483935,3609543
90,0,ArabicWestAfrica,PersianMiddleEast,0.1,103370678,3609543
91,5.96E-10,ArabicWestAfrica,ChineseAsia,10,1393132348,3609543
92,2.80E-09,ArabicWestAfrica,TurkishMiddleEast,5.4,103089615,3609543
93,0,ArabicWestAfrica,NordicCountries,0.2,32140303,3609543
