k,destRegion,originRegion,migrations,originPop,destPop
0,Angola,Angola,0,23369131,23369131
0,Angola,PersianMiddleEast,0,103370678,23369131
0,Angola,USA,0,309413317,23369131
0,Angola,Somalia,0,12053223,23369131
0,Angola,Brazil,0,196796269,23369131
4.86E-08,Angola,EastAfrica,442,312744208,23369131
0,Angola,Caribbean,0,40878080,23369131
0,Angola,ItalianEurope,0,66608219,23369131
0,Angola,AustrailiaNewZealand,0,26382450,23369131
0,Angola,ArabicWestAfrica,0,3609543,23369131
0,Angola,ChineseAsia,0,1347978819,23369131
0,Angola,SouthernAfrica,0,58410862.36,23369131
0,Angola,Korea,0,74145711,23369131
5.11E-06,Angola,MiddleAfrica,18616,107982268,23369131
0,Angola,Melanesia,0,8982274,23369131
0,Angola,EasternEurope,0,293323902,23369131
0,Angola,SpanishSouthAmerica,0,198246902,23369131
0,Angola,SoutheastAsia,0,595790239,23369131
0,Angola,GermanEurope,0,114616640,23369131
0,Angola,Madagascar,0,21151640,23369131
0,Angola,Tajikistan,0,7641630,23369131
0,Angola,Canada,0,34005274,23369131
0,Angola,IndianSubcontinent,0,1601926753,23369131
0,Angola,FrenchEurpoe,0,37094,23369131
3.98E-05,Angola,Portugal,19629,10573100,23369131
0,Angola,Japan,0,128070000,23369131
0,Angola,NorthAfrica,0,203829916,23369131
0,Angola,TurkishMiddleEast,0,103089615,23369131
0,Angola,BritishIsles,0,67406592,23369131
0,Angola,NordicCountries,0,32071316,23369131
0,Angola,BalkanPeninsula,0,27436867,23369131
0,Angola,Spain,0,46576897,23369131
0,Angola,ArabicMiddleEast,0,129306537,23369131
0,Angola,RussianAsia,0,55419091,23369131
1.54E-06,Angola,FrenchWestAfrica,13704,304167444,23369131
0,Angola,CentralAmerica,0,160556595,23369131
0,Angola,FrenchEurope,0,76430051,23369131
8.20E-08,ArabicMiddleEast,Brazil,926,196796269,129306537
6.29E-09,ArabicMiddleEast,Melanesia,5,8982274,129306537
1.61E-06,ArabicMiddleEast,Canada,4012,34005274,129306537
6.34E-08,ArabicMiddleEast,Portugal,58,10573100,129306537
9.34E-05,ArabicMiddleEast,TurkishMiddleEast,604960,103089615,129306537
8.13E-07,ArabicMiddleEast,ItalianEurope,3618,66608219,129306537
0.000306242,ArabicMiddleEast,NorthAfrica,3566308,203829916,129306537
0.000103413,ArabicMiddleEast,EasternEurope,1646934,293323902,129306537
3.04E-08,ArabicMiddleEast,Caribbean,89,40878080,129306537
1.17E-08,ArabicMiddleEast,CentralAmerica,111,160556595,129306537
0,ArabicMiddleEast,Angola,0,23369131,129306537
9.30E-06,ArabicMiddleEast,GermanEurope,66010,114616640,129306537
0,ArabicMiddleEast,FrenchEurpoe,0,37094,129306537
9.30E-06,ArabicMiddleEast,FrenchEurope,46590,76430051,129306537
3.84E-05,ArabicMiddleEast,Tajikistan,26541,7641630,129306537
7.11E-06,ArabicMiddleEast,USA,118482,309413317,129306537
9.34E-07,ArabicMiddleEast,FrenchWestAfrica,15352,304167444,129306537
5.42E-09,ArabicMiddleEast,Madagascar,9,21151640,129306537
