index,region,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016
1,Angola,5643182,5753024,5866061,5980417,6093321,6203299,6309770,6414995,6523791,6642632,6776381,6927269,7094834,7277960,7474338,7682479,7900997,8130988,8376147,8641521,8929900,9244507,9582156,9931562,10277321,10609042,10921037,11218268,11513968,11827237,12171441,12553446,12968345,13403734,13841301,14268994,14682284,15088981,15504318,15949766,16440924,16983266,17572649,18203369,18865716,19552542,20262399,20997687,21759420,22549547,23369131,24218565,25096150,25998340,26920466,27859305,28813463
2,ArabicMiddleEast,29795238,30662389,31596035,32536181,33512464,34504794,35497008,36563373,37600731,38689033,39837890,41026321,42239768,43547372,44879831,46248830,47678982,49173198,50737001,52419732,54205924,56084296,58057984,60105918,62174001,64279165,66382249,68491215,70612767,72704082,76741975,79160396,79555591,81960361,84202531,87860584,89804779,91748204,93678502,95690027,97809846,100003897,102275056,104686755,107388930,110446903,113901064,117687064,121721708,125709390,129306537,132589996,135591611,138360730,140994772,143609038,146169937
3,ArabicWestAfrica,858168,883221,909174,936016,963747,992367,1021882,1052286,1083583,1115788,1148908,1182954,1217941,1253874,1290790,1328686,1367563,1407436,1448414,1490603,1534085,1578938,1625124,1672496,1720812,1769942,1819954,1870978,1923002,1976030,2030140,2085202,2141445,2199791,2261403,2327075,2397245,2471598,2549223,2628803,2709359,2790729,2873228,2957117,3042823,3130720,3220653,3312665,3407541,3506288,3609543,3717672,3830239,3946170,4063920,4182341,4301018
4,AustrailiaNewZealand,12648277,12902700,13224000,13481800,13752400,14016400,14326900,14523100,14757100,15035800,15317700,15790000,16080900,16341300,16746700,16976100,17143500,17312200,17479200,17623000,17804900,18051900,18334100,18568300,18771100,19005100,19264700,19538300,19815600,20113600,20394900,20779100,21026700,21239200,21475000,21745400,22043000,22298300,22526000,22761100,23010700,23293500,23599900,23922600,24214900,24528700,24882500,25051400,25509000,25994300,26382450,26724024,27136354,27559453,27970394,28385038,28819859
5,BalkanPeninsula,15490111,15658777,15814530,15955460,16093637,16234723,16393697,16551735,16686716,16789999,16886055,17006057,17146597,17271426,17384182,17558962,17799051,18012631,18227238,18438650,18624825,18787849,18924737,19061439,19180079,19288970,19405533,19515202,19593855,19652115,27308861,27361116,27358946,27320708,27271797,27113351,27096902,27109486,27147116,27184692,27231629,27298645,27353320,27381312,27405271,27428646,27444646,27455401,27453648,27462059,27436867,27338096,27211507,27061537,26923558,26794301,26671639
6,Brazil,72207554,74351763,76573248,78854019,81168654,83498020,85837799,88191378,90557064,92935072,95326793,97728961,100143598,102584278,105069367,107612100,110213082,112867867,115577669,118342626,121159761,124030908,126947365,129882321,132800684,135676281,138499464,141273488,144001542,146691981,149352145,151976577,154564278,157132682,159705123,162296612,164913306,167545164,170170640,172759243,175287587,177750670,180151021,182482149,184738458,186917361,189012412,191026637,192979029,194895996,196796269,198686688,200560983,202408632,204213133,205962108,207652865
7,BritishIsles,55277042,55672681,56134468,56551450,56915941,57275491,57588349,57898168,58180504,58428776,58675925,58944625,59180069,59338377,59426129,59474828,59510446,59537135,59588010,59683852,59790567,59850369,59862632,59906178,60016982,60151046,60284527,60406737,60519323,60655108,60829989,61028228,61208307,61364531,61525949,61697941,61874891,62061994,62271227,62509204,62770242,63059108,63376296,63718685,64133508,64637238,65197325,65799132,66375073,66890970,67406592,67916471,68368603,68808533,69312975,69888863,70494071
8,Canada,17909009,18271000,18614000,18964000,19325000,19678000,20048000,20412000,20744000,21028000,21324000,21645535,21993631,22369408,22774087,23209000,23518000,23796000,24036000,24277000,24593000,24900000,25202000,25456000,25702000,25942000,26204000,26550000,26895000,27379000,27791000,28171682,28519597,28833410,29111906,29354000,29671900,29987200,30247900,30499200,30769700,31081900,31362000,31676000,31995000,32312000,32570505,32887928,33245773,33628571,34005274,34342780,34750545,35155451,35544564,35848610,36286425
9,Caribbean,20140734,20576908,21040056,21518109,21994006,22456333,22902912,23334069,23759393,24192861,24643381,25114704,25595476,26083670,26563262,27022029,27459346,27874661,28283580,28687668,29097353,29511630,29933474,30358774,30792816,31229708,31675062,32127084,32580713,33032015,33480312,33915287,34341582,34768957,35193757,35613647,36036479,36446267,36865306,37242076,37604308,37961126,38315805,38665839,39009574,39343978,39662458,39969084,40272026,40573850,40878080,41163602,41452056,41742554,42008203,42258893,42496313
10,CentralAmerica,51519119,53143971,54816250,56535071,58299548,60109628,61959986,63851619,65798472,67819407,69925350,72121419,74395568,76720232,79057715,81379531,83676062,85950609,88203765,90440568,92665273,94877414,97075766,99263902,101446711,103629337,105807875,107985484,110182547,112425616,114731120,117108147,119544099,122006794,124451286,126844081,129181431,131470922,133705300,135878796,137992226,140033253,142014325,143991441,146039807,148211558,150528927,152971868,155497581,158041891,160556595,163028364,165467124,167875536,170262816,172635109,174988756
11,ChineseAsia,671268906,664650743,670262712,686982533,703127677,720093255,740383057,759669411,779752808,801371956,823799020,846716089,867759037,887825851,906410509,922577879,936962950,949837604,962671604,975816470,988225840,1001045302,1015923446,1030739313,1044365983,1058701662,1074586586,1091957118,1109668191,1126810109,1143417580,1159103682,1173376461,1186974545,1200528856,1213694825,1226695634,1239301559,1251244127,1262136266,1272135415,1281422157,1290036655,1298060233,1305826785,1313542205,1320928432,1327896793,1334755279,1341426402,1347978819,1354512555,1361226357,1368012448,1375024377,1382103519,1389651265
12,EastAfrica,75966929,77950825,80017649,82170041,84409645,86738140,89153754,91657481,94256522,96960086,99773012,102709020,105763258,108898873,112066824,115237155,118390640,121553921,124792689,128211764,131875784,135800031,139961204,144340631,148910797,153637240,158537697,163608327,168762542,173898476,178946381,183869933,188708412,193578261,198650512,204036403,209793936,215889878,222258051,228803392,235450272,242183450,249043093,256070397,263334381,270883726,278730734,286858551,295253771,303887561,312744208,321811650,326541338,335953746,345565060,355368276,365356171
13,EasternEurope,252866946,255585858,258278976,261032775,263815447,266420905,268285670,270310593,272251719,274078496,275713237,277325644,279164529,281037058,282963581,284944761,287059112,289090521,290999024,292827368,294691280,296534417,298185787,299780626,301591158,303385458,305076188,306716733,308243954,309463688,310106436,310387457,310452861,310348894,309914768,309460676,308651019,307774234,306915433,305821826,304118133,302392195,300527613,299121977,297880102,296697965,295646789,294730411,294056862,293727536,293323902,293125436,293084803,293130825,293077637,293087395,292995595
14,FrenchEurope,56281696,56945544,57660977,58417550,59155266,59818941,60370419,60831442,61230660,61621792,62029815,62496004,63016943,63533434,64009885,64412224,64720451,64956178,65149516,65341832,65564174,65810031,66080555,66377426,66692139,67020700,67362869,67723575,68111600,68497499,68862037,68950798,69288549,69588716,69845722,70087336,70323960,70565540,70813999,71153609,71600048,72085526,72584227,73072647,73584129,74123131,74641971,75121922,75573613,76001320,76430051,76908867,77318982,77724747,78097333,78467868,78827240
16,FrenchWestAfrica,84231235,85999426,87836555,89739662,91704512,93729627,95815682,97968734,100199552,102522102,104948137,107481512,110124942,112887020,115777263,118802408,121965787,125266435,128700822,132262741,135946487,139754225,143684635,147724234,151855662,156067588,160352818,164717533,169180216,173767295,178497681,183381259,188412598,193576846,198851662,204222547,209690476,215267905,220966772,226803519,232793824,238941153,245253909,251759408,258490843,265472654,272717153,280221463,287975795,295962365,304167444,312590319,321233989,330092408,339158636,348427487,357896526
17,GermanEurope,96693392,97553831,98552442,99568095,100476656,101404437,102315783,102938011,103527388,104385873,104877043,105242946,105844353,106292013,106475913,106280856,106002942,105890043,105902525,106033857,106333083,106604123,106638020,106502800,106313206,106239112,106394156,106652451,107111511,107895076,108806655,109667671,110554334,111320548,111781464,112156855,112507521,112734206,112873549,113081488,113366123,113701923,114038152,114254223,114394226,114489086,114510222,114529994,114560402,114555615,114616640,113308362,113644182,114055592,114614859,115579502,116843215
18,IndianSubcontinent,562860834,574783684,587158883,599842331,613144275,626816578,640942338,655499363,670504925,685879802,701643040,717697895,734149159,751121652,768601050,786703859,805424320,824743477,844696746,865309729,886539241,908216570,930625453,953516572,976773428,1000297795,1024051772,1048017505,1072133303,1096339122,1120583422,1144828065,1169053476,1193316808,1217696705,1242259075,1266995862,1291852502,1316769731,1341650026,1366410767,1391026829,1415470663,1439711307,1463713297,1487450368,1510905562,1534072209,1556953132,1579557981,1601926753,1624047867,1645917330,1667574365,1689082519,1710454210,1731727418
19,ItalianEurope,55948500,56367822,56792873,57246029,57749165,58264141,58746573,59205098,59622022,60006645,60368329,60696343,61081471,61526158,61957992,62359832,62706786,63000957,63277409,63506581,63693880,63835731,63962826,64067034,64161147,64258833,64340790,64425536,64528624,64666724,64785782,64535311,64514126,64699108,64700936,64701087,64522314,64610653,64536274,64579095,64457135,64474273,64550017,64792819,65151266,65422971,65576526,65844327,66208553,66451962,66608219,66565266,66707676,67384729,67916633,67814889,67647291
20,Japan,92500572,94943000,95832000,96812000,97826000,98883000,99790000,100725000,101061000,103172000,104345000,105697000,107188000,108079000,110162000,111940000,112771000,113863000,114898000,115870000,116782000,117648000,118449000,119259000,120018000,120754000,121492000,122091000,122613000,123116000,123537000,123921000,124229000,124536000,124961000,125439000,125757000,126057000,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,126994511
21,Korea,36436550,37431268,38384742,39327215,40266574,41252199,42300525,43353677,44448284,45554605,46651227,47692225,48713177,49696500,50644344,51555465,52403269,53208373,53985168,54769902,55595915,56454478,57334916,58208617,58996094,59682982,60370469,61053676,61739570,62442793,63162337,63904854,64685366,65460462,66219522,66955290,67638229,68289218,68823839,69348662,69937186,70501974,70981417,71430870,71812017,72088728,72499389,72886927,73389854,73770856,74145711,74658936,75053887,75414869,75863022,76258864,76614327
22,Madagascar,5099373,5223568,5352503,5486319,5625164,5769218,5918595,6073526,6234465,6401921,6576305,6757850,6946620,7142627,7345780,7556026,7773449,7998164,8230218,8469672,8716553,8971345,9234129,9504281,9780872,10063495,10352120,10647754,10952395,11268658,11598633,11942819,12301336,12675460,13066543,13475400,13902688,14347854,14808791,15282521,15766806,16260932,16765117,17279141,17802997,18336724,18880268,19433523,19996469,20569121,21151640,21743949,22346573,22961146,23589801,24234088,24894551
23,Melanesia,2664628,2727412,2792536,2860041,2929803,3001725,3076372,3153263,3232581,3316021,3405794,3498463,3591586,3685301,3781759,3880568,3982527,4088078,4196655,4308875,4426017,4549133,4677025,4806940,4935858,5061659,5183626,5302915,5421626,5543278,5671060,5805373,5945046,6089961,6239188,6391050,6545747,6704134,6865493,7029070,7194347,7360837,7528715,7698085,7870338,8046781,8228739,8413627,8602344,8791278,8982274,9171919,9362448,9552235,9743945,9937059,10131572
24,MiddleAfrica,26785600,27404322,28048182,28720351,29425130,30165142,30942938,31757006,32600969,33465798,34345526,35237327,36144551,37075026,38039906,39047110,40101941,41202374,42340483,43504399,44687047,45888724,47117317,48383079,49699802,51079621,52516683,54013025,55597158,57305750,59159846,61183172,63355649,65601329,67815437,69926944,71906007,73786666,75640510,77571853,79657944,81920929,84342828,86912369,89604807,92401506,95304682,98322326,101447040,104669382,107982268,111381769,114868278,118444445,122115098,125883419,129749513
25,NordicCountries,26396433,26617942,26844183,27069050,27304654,27540886,27771827,27994653,28193482,28369182,28556078,28754643,28937517,29103877,29266497,29417572,29547929,29676460,29794899,29888650,29972487,30056447,30149633,30249174,30349628,30457974,30584124,30731507,30889214,31036489,31160261,31268428,31323531,31336023,31364542,31391586,31399384,31400947,31406288,31436342,31471435,31485099,31507528,31538055,31561100,31579512,31631963,31739716,31873411,31995323,32071316,32144030,32257660,32394750,32555251,32728431,32894837
26,NorthAfrica,63619127,65363608,67149212,68978238,70854644,72780702,74760923,76793182,78865514,80961569,83071938,85192998,87335393,89521696,91782709,94142249,96604924,99168906,101843124,104636168,107551805,110591846,113748748,117004153,120333124,123714110,127134426,130586436,134058804,137540891,141020766,144499183,147963829,151375391,154684530,157859675,160883585,163775729,166587490,169392022,172244752,175172197,178168938,181220967,184300981,187394740,190490944,193614185,196827361,200214185,203829916,207698224,211788011,216031210,220329890,224609441,228846848
27,PersianMiddleEast,30903254,31647182,32417297,33214386,34039446,34893529,35776987,36690749,37637289,38619671,39640133,40699093,41796238,42932093,44107041,45320840,46578067,47878261,49210386,50559354,51916590,53271583,54632977,56034361,57521823,59125752,60857883,62700243,64616506,66554723,68475299,70369241,72241969,74086317,75897844,77675185,79405973,81092162,82764629,84466336,86225610,88062877,89963253,91877564,93736079,95492609,97121330,98647895,100139573,101691896,103370678,105200181,107150532,109167072,111169112,113096981,114933460
28,Portugal,8857716,8929316,8993985,9030355,9035365,8998595,8930990,8874520,8836650,8757705,8680431,8643756,8630430,8633100,8754365,9093470,9355810,9455675,9558250,9661265,9766312,9851362,9911771,9957865,9996232,10023613,10032734,10030031,10019610,10005000,9983218,9960235,9952494,9964675,9991525,10026176,10063945,10108977,10160196,10217828,10289898,10362722,10419631,10458821,10483861,10503330,10522288,10542964,10558177,10568247,10573100,10557560,10514844,10457295,10401062,10358076,10324611
29,RussianAsia,22039311,22881472,23718967,24555355,25384678,26198509,27001259,27786213,28554596,29301566,30022346,30725242,31417422,32099814,32783425,33467188,34152236,34840297,35533119,36237097,36952876,37680930,38422428,39181518,39956647,40745624,41557361,42383549,43196029,44121994,44933166,45655285,46303338,46799908,47102398,47368866,47718638,48052217,48304777,48546608,48948557,49331965,49731500,50175709,50685433,51231270,51824839,52490729,53231262,54251351,55419091,56584661,57440964,58364352,59348665,60365210,61390476
30,Somalia,2755947,2814096,2874190,2936443,3001126,3068437,3143836,3228495,3313786,3387632,3444553,3470324,3475022,3506008,3627504,3880320,4289469,4827362,5417740,5953615,6359126,6604872,6716448,6740220,6747932,6791716,6887372,7018109,7165295,7298417,7397347,7455936,7488544,7519811,7583954,7704894,7892389,8137475,8422372,8720231,9011479,9290823,9564167,9836397,10116228,10409925,10718317,11038596,11369276,11707990,12053223,12404725,12763776,13132349,13513125,13908129,14317996
31,SoutheastAsia,215420305,221151740,227041601,233094884,239313895,245691665,252224527,258904592,265736800,272742862,279931315,287319886,294883267,302560954,310263216,317931954,325531968,333084621,340659987,348370989,356286201,364422400,372694213,381033193,389519688,398094841,406855491,415768116,424670318,433486448,441937925,450190266,458287702,466264294,474227798,482212869,490274513,498330954,506396352,514320641,522116382,529850241,537388658,544774964,552230456,559628175,566917106,574149093,581395878,588579907,595790239,603144637,610621003,618077273,625472665,632751319,639892653
32,SouthernAfrica,19724228,20228486,20753635,21296497,21852538,22418889,22993573,23578488,24179291,24803785,25457262,26142660,26857335,27594226,28343187,29097194,29852435,30611791,31383200,32178219,33004463,33866501,34760044,35673292,36589564,37497706,38388053,39265548,40150875,41073392,42051405,43094978,44189497,45298602,46371866,47373414,48289802,49132583,49921528,50687790,51454620,51960350,52580824.88,53214556.9,53869039.99,54550134.24,55259952.48,55998894.99,56769126.3,57572619.11,58410862.36,59285729.36,60197850.08,61145799.61,62127181.74,63140390.68,64185757
33,Spain,30455000,30739250,31023366,31296651,31609195,31954292,32283194,32682947,33113134,33441054,33814531,34224490,34604469,34988947,35373335,35757900,36137812,36511638,36864898,37191330,37491165,37758631,37986012,38171525,38330364,38469512,38584624,38684815,38766939,38827764,38867322,38966376,39157685,39361262,39549108,39724050,39889852,40057389,40223509,40386875,40567864,40850412,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46447697,46443959
34,SpanishSouthAmerica,76566755,78491627,80469069,82492969,84554660,86646829,88769072,90920514,93093007,95276755,97465389,99655116,101849469,104058658,106297361,108576693,110899144,113263079,115670362,118122066,120618408,123159189,125743010,128366828,131026540,133717682,136436859,139179870,141940013,144709478,147480897,150251611,153016859,155765031,158482300,161158797,163789270,166375465,168923709,171444226,173945127,176428086,178892380,181341130,183777562,186204397,188622077,191031543,193436376,195840787,198246902,200655956,203064840,205465629,207847678,210202414,212526556
35,Tajikistan,2087038,2159123,2236559,2318234,2402455,2487953,2574478,2662230,2750894,2840228,2930079,3020391,3111264,3203019,3296095,3390935,3487644,3586499,3688385,3794420,3905413,4020778,4140258,4265247,4397525,4537789,4687283,4843951,5001110,5149803,5283728,5400714,5502976,5594114,5679832,5764712,5849540,5934282,6021691,6114886,6216205,6327125,6447688,6576877,6712841,6854176,7000557,7152385,7309728,7472819,7641630,7815949,7995062,8177809,8362745,8548651,8734951
36,TurkishMiddleEast,34762092,35622245,36507028,37420256,38366431,39348758,40368641,41425365,42517114,43640937,44794250,45976471,47187070,48423464,49682546,50961800,52257679,53569162,54899029,56251790,57629277,59034896,60463666,61899211,63319606,64710278,66064864,67391027,68705511,70032619,71390704,72783246,74207062,75665646,77161371,78694768,80269101,81881790,83519840,85165482,86805534,88443123,90082353,91713429,93324464,94911832,96461317,97987714,99551449,101233837,103089615,105136508,107346438,109670478,112036708,114387121,116714998
