region,2015,2020,2025,2030,2035,2040,2045,2050
Angola,2.96E-01,1.73E-01,6.88E-02,-2.37E-02,-1.06E-01,-1.78E-01,-2.41E-01,-2.96E-01
ArabicMiddleEast,7.08E-02,-5.24E-02,-1.44E-01,-2.28E-01,-2.93E-01,-3.45E-01,-3.89E-01,-4.27E-01
ArabicWestAfrica,1.28E-01,-4.33E-02,-1.78E-01,-2.87E-01,-3.76E-01,-4.50E-01,-5.11E-01,-5.63E-01
AustrailiaNewZealand,1.53E-02,-6.72E-02,-1.36E-01,-1.93E-01,-2.42E-01,-2.85E-01,-3.22E-01,-3.56E-01
BalkanPeninsula,-7.14E-02,-5.13E-02,-3.96E-02,-2.47E-02,-7.31E-03,1.31E-02,3.67E-02,6.38E-02
Brazil,4.89E-02,4.16E-03,-3.11E-02,-5.79E-02,-7.76E-02,-9.09E-02,-9.87E-02,-1.02E-01
BritishIsles,-1.99E-05,-4.08E-02,-7.85E-02,-1.11E-01,-1.40E-01,-1.65E-01,-1.88E-01,-2.09E-01
Canada,1.30E-02,-3.75E-02,-8.02E-02,-1.18E-01,-1.49E-01,-1.76E-01,-1.98E-01,-2.16E-01
Caribbean,3.97E-02,9.30E-03,-1.43E-02,-3.32E-02,-4.72E-02,-5.55E-02,-5.85E-02,-5.64E-02
CentralAmerica,7.71E-02,-1.10E-03,-6.61E-02,-1.20E-01,-1.64E-01,-2.00E-01,-2.29E-01,-2.52E-01
ChineseAsia,-4.61E-03,-3.10E-02,-4.98E-02,-5.93E-02,-6.11E-02,-5.62E-02,-4.57E-02,-3.00E-02
EastAfrica,1.40E-01,-2.01E-02,-1.53E-01,-2.63E-01,-3.53E-01,-4.29E-01,-4.92E-01,-5.44E-01
EasternEurope,-1.15E-02,-7.88E-03,-2.52E-04,1.28E-02,3.14E-02,5.38E-02,7.67E-02,9.82E-02
FrenchEurope,2.92E-02,-9.01E-03,-4.31E-02,-7.29E-02,-1.01E-01,-1.27E-01,-1.50E-01,-1.71E-01
FrenchWestAfrica,1.39E-01,-1.72E-02,-1.49E-01,-2.60E-01,-3.54E-01,-4.34E-01,-5.02E-01,-5.58E-01
GermanEurope,-5.07E-03,-2.63E-02,-4.45E-02,-5.43E-02,-6.17E-02,-6.62E-02,-6.82E-02,-6.76E-02
IndianSubcontinent,7.22E-02,3.96E-03,-5.38E-02,-1.02E-01,-1.42E-01,-1.74E-01,-1.98E-01,-2.17E-01
ItalianEurope,-2.18E-02,-2.60E-02,-2.81E-02,-2.81E-02,-2.78E-02,-2.60E-02,-2.25E-02,-1.63E-02
Japan,-7.60E-03,4.45E-04,1.57E-02,3.72E-02,6.42E-02,9.56E-02,1.31E-01,1.68E-01
Korea,1.86E-02,-6.33E-03,-2.78E-02,-4.50E-02,-5.76E-02,-6.35E-02,-6.15E-02,-5.28E-02
Madagascar,1.53E-01,1.01E-02,-1.13E-01,-2.18E-01,-3.05E-01,-3.78E-01,-4.39E-01,-4.91E-01
Melanesia,1.27E-01,3.41E-02,-4.53E-02,-1.13E-01,-1.71E-01,-2.21E-01,-2.63E-01,-2.99E-01
MiddleAfrica,1.65E-01,-6.31E-03,-1.49E-01,-2.66E-01,-3.62E-01,-4.43E-01,-5.09E-01,-5.64E-01
NordicCountries,-1.29E-03,-2.48E-02,-4.80E-02,-7.01E-02,-8.96E-02,-1.05E-01,-1.19E-01,-1.32E-01
NorthAfrica,1.03E-01,-5.46E-03,-9.56E-02,-1.69E-01,-2.29E-01,-2.82E-01,-3.29E-01,-3.70E-01
PersianMiddleEast,8.98E-02,-7.25E-03,-8.00E-02,-1.36E-01,-1.80E-01,-2.16E-01,-2.48E-01,-2.74E-01
Portugal,1.53E-02,7.13E-02,1.26E-01,1.80E-01,2.36E-01,2.95E-01,3.59E-01,4.31E-01
RussianAsia,6.23E-02,-3.96E-02,-1.20E-01,-1.83E-01,-2.33E-01,-2.75E-01,-3.13E-01,-3.46E-01
Somalia,1.74E-01,1.31E-02,-1.29E-01,-2.52E-01,-3.54E-01,-4.39E-01,-5.10E-01,-5.69E-01
SoutheastAsia,6.26E-02,5.65E-04,-5.06E-02,-9.28E-02,-1.27E-01,-1.54E-01,-1.75E-01,-1.91E-01
SouthernAfrica,6.66E-02,7.47E-03,-4.10E-02,-7.94E-02,-1.09E-01,-1.34E-01,-1.54E-01,-1.71E-01
Spain,-2.25E-02,-3.60E-02,-5.86E-02,-7.65E-02,-9.33E-02,-1.09E-01,-1.22E-01,-1.33E-01
SpanishSouthAmerica,6.65E-02,9.32E-03,-3.89E-02,-7.88E-02,-1.12E-01,-1.38E-01,-1.59E-01,-1.75E-01
Tajikistan,1.51E-01,4.34E-02,-4.58E-02,-1.16E-01,-1.71E-01,-2.19E-01,-2.62E-01,-2.99E-01
TurkishMiddleEast,8.99E-02,-1.63E-02,-1.01E-01,-1.54E-01,-2.03E-01,-2.50E-01,-2.91E-01,-3.27E-01
USA,2.10E-02,-1.83E-02,-5.56E-02,-9.14E-02,-1.24E-01,-1.52E-01,-1.76E-01,-1.96E-01
