year,Angola,ArabicMiddleEast,ArabicWestAfrica,AustrailiaNewZealand,BalkanPeninsula,Brazil,BritishIsles,Canada,Caribbean,CentralAmerica,ChineseAsia,EastAfrica,EasternEurope,FrenchEurope,FrenchWestAfrica,GermanEurope,IndianSubcontinent,ItalianEurope,Japan,Korea,Madagascar,Melanesia,MiddleAfrica,NordicCountries,NorthAfrica,PersianMiddleEast,Portugal,RussianAsia,Somalia,SoutheastAsia,SouthernAfrica,Spain,SpanishSouthAmerica,Tajikistan,TurkishMiddleEast,USA,World
2015.0,30609565.5325,139034209.094,4100353.7884,26946074.7705,27396836.9608,206501089.528,68143965.4424,34627748.3904,43449170.2417,173190255.439,1386435785.28,360652547.314,291599100.358,76815416.2686,349920209.745,113465571.485,1721750668.47,65569802.0255,127529576.708,75617943.3629,24600607.4439,10172150.209,127057531.185,32198651.0993,225720952.219,112806975.074,10804661.8849,59049374.2889,14337411.8752,635848352.283,63334745.3415,45711601.6612,212061159.462,8832124.24417,112724499.928,316158389.745,7334775078.15
2020.0,38944087.8405,147373152.078,4592659.46068,27373587.1447,27188899.8459,214345685.881,68524966.285,35086449.0377,45708868.8766,184436761.07,1410793413.21,410055388.789,287988786.337,76731163.7663,397692122.598,112029232.419,1829557472.54,64172536.1824,126018792.89,76696791.9878,28301224.5953,11356831.3374,147327156.476,32269437.0073,245507514.643,121025381.43,10963425.0835,61797807.9246,16864348.6487,671055135.772,68198264.1634,44476258.3642,224395166.898,10013412.0968,121977873.788,322202238.742,7723042295.21
2025.0,48736208.7856,154900969.421,5107630.629,27710810.4162,26913739.114,220857532.645,68670432.9937,35452925.9302,47747435.0255,194743580.21,1422767058.83,462762883.744,282997764.305,76401742.1623,450070660.647,110390490.116,1929585525.31,62619550.4549,123831204.883,77461404.4592,32362657.0434,12581496.217,169736490.374,32304152.8634,264214785.73,128166629.205,11097445.355,63804303.9638,19744771.3922,703131391.549,72918280.4854,43057396.1655,235801181.009,11184884.587,131294916.987,327955913.82,8089086246.82
2030.0,60105524.3521,161552735.488,5642858.26847,27934404.9408,26581069.1067,225968862.177,68574354.418,35696650.8226,49532375.1322,203985477.485,1423930051.19,518520400.018,276826542.428,75865951.3994,507216554.086,108475583.633,2018988886.15,60979268.7406,121173484.846,77808833.0055,36713604.4403,13839359.4503,194255002.284,32244730.5831,282279425.856,134495884.228,11218452.4354,65243579.4737,22969664.6939,731506927.307,77454366.9186,41567602.5611,246203155.06,12353273.1475,140748612.089,332800740.771,8431254248.98
2035.0,73101529.0007,167362690.742,6194926.72664,28065889.7027,26186950.3461,229667094.889,68309468.8583,35794748.4157,51051088.904,212102530.149,1416151828.75,576801542.912,270197841.496,75093923.3529,568917009.439,106265188.202,2096506359.82,59251697.139,118219866.891,77578715.9481,41289695.3833,15114475.2652,220700573.067,32092006.2392,300229889.6,140357987.464,11319245.4916,66371091.8004,26522705.4872,755991040.801,81848648.1439,40070717.3534,255487147.833,13560476.4891,150305293.159,336460500.262,8750542385.52
2040.0,87687284.8416,172293800.085,6761730.76217,28131725.042,25729461.2087,232112659.153,67947772.0084,35786367.8239,52292908.3416,219051540.021,1400533912.71,636788730.48,263880570.361,74035539.1054,634574105.849,103788961.835,2162093990.12,57444311.992,115110292.054,76736624.5093,46074884.4332,16385991.9315,248661105.868,31902509.2703,317980562.565,145825011.691,11388737.5542,67257722.1075,30395564.3576,776639779.79,86141509.6452,38529952.165,263616370.842,14813092.8551,159868261.495,339068577.095,9047331921.97
2045.0,103793102.257,176262272.878,7337343.52239,28164014.8245,25211429.6093,233359593.966,67500741.7468,35711836.8319,53245452.9257,224810719.017,1377934687.94,697749310.212,258096180.097,72691743.0721,703346067.455,101093440.301,2215987633.33,55524435.676,112074166.804,75424611.9733,51053102.0443,17637812.6504,277669352.053,31717242.0882,334985621.269,150579225.52,11413546.5246,67808485.1296,34583685.77,793480424.382,90268729.808,36889116.7003,270541951.192,16066319.8,169291568.2,340910692.078,9320215659.65
2050.0,121385721.52,179149328.772,7913454.29944,28161486.5988,24642221.7549,233411930.544,66936469.3361,35615046.4637,53896166.2611,229344711.5,1348650447.31,758980298.154,252506717.377,71165794.2035,774170548.964,98266534.6662,2258173436.26,53482203.2157,109174883.285,73784698.1445,56196261.6223,18862444.8159,307433717.362,31546923.1629,350777238.815,154237463.044,11391551.8079,67916128.2606,39059503.2019,806636005.942,94163978.583,35121455.8194,276268742.015,17262900.2438,178471591.504,342554796.171,9566712801.0
2055.0,140365480.738,180920405.269,8483130.12916,28124172.348,24034762.0142,232362127.895,66222414.9042,35524756.0072,54260006.4382,232593376.646,1314335570.99,819736402.84,246756047.148,69565383.7308,846288632.965,95409694.0337,2288075433.57,51365995.517,106320639.605,71955305.8183,61433654.8233,20051784.0745,337643259.437,31381201.9973,365038678.113,156585280.351,11329690.7771,67565617.2986,43769230.3627,816233516.043,97790952.1765,33240168.4339,280789809.549,18385635.2821,187365028.409,344409387.859,9785712633.6
2060.0,160626179.494,181628339.258,9045390.80095,28061583.6836,23401309.1609,230203881.557,65411260.1737,35483270.7056,54358261.8766,234580275.52,1277291668.29,879255257.772,240755393.327,67947433.9179,919004100.072,92726930.6126,2306003046.91,49285830.8852,103346615.992,70061975.3116,66701702.8517,21189402.4071,367898175.738,31212109.5444,377882355.759,157654125.474,11245081.2786,66837018.2731,48639604.2022,822708924.948,101131349.831,31321060.7999,284120998.363,19445225.6498,195963458.425,346473960.914,9978902559.78
