year,Angola,ArabicMiddleEast,ArabicWestAfrica,AustrailiaNewZealand,BalkanPeninsula,Brazil,BritishIsles,Canada,Caribbean,CentralAmerica,ChineseAsia,EastAfrica,EasternEurope,FrenchEurope,FrenchWestAfrica,GermanEurope,IndianSubcontinent,ItalianEurope,Japan,Korea,Madagascar,Melanesia,MiddleAfrica,NordicCountries,NorthAfrica,PersianMiddleEast,Portugal,RussianAsia,Somalia,SoutheastAsia,SouthernAfrica,Spain,SpanishSouthAmerica,Tajikistan,TurkishMiddleEast,USA,World
2015.0,30352341.9623,138400598.274,4071378.90522,26874226.8151,27343342.7463,205883855.543,67973887.626,34552109.2442,43296229.5932,172494247.463,1382947818.92,358013280.48,290923013.758,76634187.5563,347162187.983,113262797.662,1714557813.56,65455067.8439,127315376.38,75458367.8989,24434609.8165,10116316.3893,125997589.161,32126899.7788,224506664.337,112285619.051,10785709.8523,58777161.6542,14211747.6608,633412967.082,63046626.583,45626845.3253,211280922.678,8779304.87903,112220542.782,315368608.248,7305950265.49
2020.0,38625510.0873,146701901.258,4560050.52207,27300539.0964,27135582.4051,213704762.572,68355081.4779,35009378.8341,45548256.4351,183695673.865,1407241649.0,407055360.837,287321157.443,76553107.2193,394557430.981,111829919.73,1821912369.44,64060931.2257,125806737.769,76535063.9272,28110747.5991,11294725.2629,146099645.216,32197631.3336,244186887.845,120465208.605,10943482.2843,61514531.212,16716778.602,668481474.715,67886810.2122,44394880.5526,223569483.166,9953686.66259,121431375.665,321394978.158,7692152791.22
2025.0,48346380.2673,154195697.141,5071208.2748,27636792.962,26860720.8102,220196908.11,68501354.0964,35374567.7499,47579945.5413,193961201.915,1419182503.53,459378190.982,282341788.457,76227545.5979,446523051.403,110194993.577,1921520484.0,62511338.6266,123622455.844,77298179.6691,32145336.1278,12512920.6702,168323882.825,32232366.8447,262793637.633,127572484.397,11076533.9127,63513515.8847,19572246.4344,700430859.392,72583944.3611,42979682.1075,234933451.435,11118332.9555,130705349.141,327131575.56,8056151428.23
2030.0,59633760.6463,160817340.22,5602460.10109,27859708.0629,26528453.9019,225292732.497,68406695.0377,35617215.7608,49358917.0936,203166097.531,1420339808.17,514729051.459,276184949.898,75696182.6705,503218534.038,108284382.466,2010548145.57,60874588.655,120968853.636,77644981.9992,36467556.6549,13764150.8345,192640045.707,32173166.0287,280761231.188,133871396.888,11196580.2013,64947990.1747,22769218.6016,728693108.751,77097775.4183,41493621.8315,245297053.802,12279932.372,140115101.668,331961268.593,8396302058.13
2035.0,72536878.9682,166600892.165,6150415.29176,27990745.8352,26134852.5344,228979696.89,68143654.2851,35714502.0013,50872609.6419,211250677.13,1412578335.14,572585445.577,269571687.505,74929193.5193,564432791.47,106078785.747,2087739459.56,59150681.0343,118019868.151,77415445.8934,41013467.8242,15032552.6101,218867538.592,32020861.3579,298615282.726,139705196.05,11296438.1642,66072215.9784,26291516.6074,753078254.639,81470220.0288,40000421.1082,254546766.789,13480132.5111,149627103.217,335608534.047,8713603120.59
2040.0,87019152.6896,171509459.348,6712985.55676,28056298.8652,25678001.9755,231417749.631,67784043.8227,35705491.4285,52110383.6797,218171913.987,1396996868.79,632135809.95,263269127.294,73876537.3512,629572644.378,103607798.767,2153050678.74,57347072.2918,114915199.339,76575213.6649,45767125.623,16297382.0127,246597693.866,31831855.3599,316270639.583,145145623.905,11365046.7416,66956730.9312,30130884.6446,773642139.835,85741465.1399,38463353.0308,262645935.547,14725490.6667,159145078.633,338206421.026,9008445298.09
2045.0,103011489.905,175459606.14,7284289.30594,28088389.2555,25160727.2979,232660774.498,67339306.3152,35630422.9496,53059894.1095,223908105.137,1374451669.79,692652879.988,257498205.761,72539117.2497,697802969.927,100917868.963,2206716716.88,55431132.1756,111883856.287,75266037.4772,50712559.7251,17542625.238,275367141.73,31647058.7774,333184408.596,149876435.317,11389057.7112,67506956.4233,34282807.2298,790411956.438,89847585.7957,36826317.634,269545872.55,15971467.2904,168523730.298,340039916.706,9279439356.87
2050.0,120480952.881,178333065.463,7856077.49444,28085749.0798,24592377.7598,232712797.048,66777604.9951,35533087.2845,53708625.5601,228424033.785,1345238325.08,753438825.91,251921750.865,71019935.9225,768069799.088,98096748.9994,2248723854.0,53393005.7966,108989122.4,73629636.005,55821864.4178,18760827.1571,304886698.291,31477165.8321,348891265.36,153516264.873,11366363.3066,67616090.9845,38719958.0258,803510284.081,93722567.56,35062594.5231,275251426.622,17161141.4173,177659904.383,341675500.722,9524125292.98
2055.0,139328710.953,180095402.366,8421467.43473,28048407.2904,23985854.7966,231666004.365,66066471.4439,35442174.182,54071482.7299,231659797.615,1311007062.08,813753802.964,246184452.092,69426438.851,839620194.368,95245708.9136,2278498604.27,51280989.8,106139359.495,71804140.5731,61024801.3081,19943923.8137,334847984.475,31311848.5403,363076160.733,155851691.275,11303896.2496,67269129.1718,43389019.5575,813063661.738,97330289.7936,33185348.7447,279755705.053,18277412.9413,186510495.189,343520606.421,9741408501.59
2060.0,159449404.744,180799201.264,8979484.15961,27985843.4419,23353396.3628,229514120.557,65258454.7473,35399885.9701,54169685.9575,233638860.215,1274053683.67,872841006.796,240197741.436,67815414.9636,911763420.833,92568408.9896,2296349149.07,49204920.482,103170044.386,69914828.8013,66258220.4637,21075574.753,364854495.827,31143154.9812,375850897.409,156914042.998,11218742.5618,66545746.8587,48217367.5042,819506419.802,100652558.789,31270252.1441,283074506.51,19330918.5472,195067126.534,345574715.143,9932981697.67
2065.0,180786008.705,180587461.414,9525659.25475,27894453.431,22718509.8299,226402508.731,64457986.1459,35405672.1245,54045243.1715,234431726.505,1236708405.56,930129038.183,234210605.937,66237614.8596,983823434.523,90156329.2255,2302493566.15,47295241.0326,100136229.566,68036615.7174,71453667.361,22146951.0338,394503328.195,30980268.7477,387354917.366,156885543.245,11133216.8504,65560404.6474,53155127.3988,823341013.812,103689595.208,29430840.13,285267259.422,20334317.7999,203342035.707,347696338.961,10101757136.0
2070.0,203659545.804,179912359.326,10075127.8926,27779758.8554,22098700.8493,222795763.433,63701289.0838,35444865.7479,53809839.9245,234503104.61,1200479768.01,987408775.233,228452522.82,64671750.3503,1057492770.15,87897069.9067,2301722084.54,45550766.6399,97195464.2822,66186647.4623,76737385.4406,23192942.0017,424622160.917,30833914.8847,398233514.916,156306398.006,11051607.7767,64458398.9158,58346546.2729,825764069.857,106549887.368,27714625.8231,286805714.457,21327821.1869,211587277.056,349743513.621,10264113753.4
