year,Angola,ArabicMiddleEast,ArabicWestAfrica,AustrailiaNewZealand,BalkanPeninsula,Brazil,BritishIsles,Canada,Caribbean,CentralAmerica,ChineseAsia,EastAfrica,EasternEurope,FrenchEurope,FrenchWestAfrica,GermanEurope,IndianSubcontinent,ItalianEurope,Japan,Korea,Madagascar,Melanesia,MiddleAfrica,NordicCountries,NorthAfrica,PersianMiddleEast,Portugal,RussianAsia,Somalia,SoutheastAsia,SouthernAfrica,Spain,SpanishSouthAmerica,Tajikistan,TurkishMiddleEast,USA,World
2015.0,30324461.63,138330908.287,4068087.64833,26856399.3192,27314353.4123,205762526.117,67914094.515,34526897.6671,43263799.3267,172410313.264,1381980696.18,357716247.684,290547199.732,76565754.2452,346747592.986,113147079.071,1713340533.8,65388339.8856,127189634.057,75409379.3663,24417953.6364,10109305.476,125856494.949,32094618.4168,224372668.503,112224267.783,10774604.5435,58736493.3063,14194434.9649,632986565.753,62977389.8618,45587649.6129,211150113.453,8774699.34202,112157168.177,315110779.96,7300329505.93
2020.0,38590173.0185,146628083.316,4556363.37347,27282455.8719,27106821.1073,213578774.829,68294973.9591,34983813.6386,45514127.552,183606299.174,1406257433.61,406717648.69,286950004.575,76484802.0909,394086210.496,111715690.267,1820618786.59,63995634.7106,125682453.14,76485388.6297,28091588.2203,11286893.1392,145936133.809,32165280.7199,244041150.654,120399347.294,10932200.6612,61471992.1414,16696422.7198,668031211.627,67812421.3946,44356771.1948,223431022.616,9948462.9795,121362745.497,321132142.528,7686231725.84
2025.0,48302440.5571,154118125.509,5067104.7753,27618509.8506,26832256.9153,220067037.827,68441140.4685,35348704.3815,47544288.0001,193866841.95,1418189777.23,458997061.899,281977077.175,76159605.2177,445989697.467,110082459.757,1920156103.54,62447625.7684,123500282.788,77248024.373,32123440.9174,12504241.608,168135648.224,32199981.658,262636789.46,127502678.78,11065096.9341,63469617.7275,19548428.2946,699958697.119,72504575.9396,42942812.7165,234787912.804,11112498.8704,130631400.885,326863892.723,8049941880.11
2030.0,59580016.857,160736396.391,5597922.39065,27841301.0124,26500348.3505,225159795.654,68346587.8788,35591130.0514,49321921.0804,203067267.484,1419346047.65,514301962.468,275828200.858,75628812.3593,502617334.115,108173824.021,2009120496.63,60812542.139,120849247.6,77594620.409,36442740.0177,13754604.0613,192424826.636,32140838.4974,280593633.207,133798062.399,11184998.0154,64903118.2034,22741531.424,728201371.224,77013653.5124,41458048.114,245145065.035,12273492.8485,140035728.336,331689403.314,8389816890.24
2035.0,72472146.0759,166516927.562,6145428.58129,27972278.3533,26107170.8175,228844519.006,68083798.8234,35688283.5946,50834475.3145,211147920.121,1411589714.06,572110273.777,269223488.959,74862619.5317,563758264.728,105970501.313,2086256978.69,59090384.9975,117903119.207,77365254.2285,40985587.4851,15022129.0412,218623291.438,31988682.4471,298436977.691,139628555.091,11284730.5005,66026578.6547,26259575.048,752569373.919,81381538.2822,39966142.9481,254389028.962,13473071.7341,149542212.538,335333372.168,8706854395.69
2040.0,86942338.4524,171422842.344,6707536.01063,28037815.8539,25650811.8847,231281066.171,67724520.814,35679200.7009,52071323.0334,218065793.474,1396018794.51,631611095.749,262929077.4,73811023.223,628819999.948,103502056.507,2151521848.36,57288605.7654,114801466.095,76525589.0742,45736052.7772,16286088.3942,246322842.28,31799859.2982,316081717.722,145065857.626,11353247.0824,66910487.3736,30094315.122,773118494.695,85648384.5906,38430401.5207,262483175.458,14717790.9113,159054629.49,337928740.264,9001444889.97
2045.0,102921572.13,175370751.456,7278366.57437,28069912.5241,25134094.2425,232523286.226,67280186.2897,35604091.6686,53020131.0027,223799194.91,1373488955.14,692077759.107,257165619.107,72474915.4541,696968407.829,100814886.909,2205149847.43,55374610.4724,111773080.407,75217285.0603,50678180.9072,17530479.1914,275060630.823,31615238.7009,332985286.966,149793897.663,11377215.4494,67460325.438,34241243.187,789875900.537,89750339.5574,36794771.8879,269378842.748,15963135.5135,168427762.578,339760275.486,9272200480.57
2050.0,120376907.628,178242458.995,7849677.73304,28067302.8688,24566358.7331,232575199.1,66718982.5148,35506718.3852,53668390.6393,228312925.29,1344295584.83,752813012.478,251596379.57,70957198.0229,767150786.231,97996653.5343,2247127230.86,53338554.6081,108881183.385,73581969.8939,55784087.7038,18747849.9769,304547798.401,31445504.2875,348682649.273,153431521.497,11354532.8114,67569358.5398,38673066.9562,802964095.662,93621459.5324,35032556.5671,275080864.01,17152214.2999,177558515.061,341394023.847,9516663573.73
2055.0,139209538.729,180003568.668,8414593.83759,28030021.6889,23960493.1312,231528935.209,66008464.9493,35415754.9723,54030991.4782,231547111.754,1310087776.28,813077629.93,245866507.655,69365209.4309,838615106.941,95148521.8596,2276880892.0,51228682.9556,106034218.91,71757685.1332,60983578.9577,19930141.2699,334476310.076,31280338.6201,362858955.741,155765429.377,11292126.0122,67222589.7003,43336532.6778,812509542.833,97225659.3505,33156909.0735,279582336.09,18267935.8121,186403807.496,343237107.245,9733741005.84
2060.0,159314149.562,180706650.704,8972143.78489,27967551.7515,23328721.1682,229378215.035,65201134.4493,35373378.7093,54129127.233,233525206.856,1273159747.67,872115438.864,239887547.082,67755683.1468,910671469.287,92473944.8056,2294718778.5,49154716.0259,103067810.69,69869626.0301,66213537.019,21061020.6551,364450095.781,31111798.1518,375625949.334,156826935.381,11207066.3972,66499639.5207,48159101.1522,818946286.9,100544756.35,31243436.7443,282899036.271,19320929.487,194955269.188,345289023.142,9925124922.84
2065.0,180633731.729,180494627.517,9517865.11695,27876295.7043,22694525.256,226268311.321,64401334.0582,35379041.2173,54004765.001,234317682.538,1235840098.12,929355511.412,233908160.961,66179332.4543,982644645.376,90064310.2097,2300858796.64,47246963.7199,100036950.942,67992658.9788,71405544.2719,22131661.2463,394066687.328,30949057.8372,387122985.614,156798164.773,11121649.6311,65514885.5804,53090956.1982,822776457.216,103578959.401,29405580.5868,285090350.354,20323845.5014,203225133.641,347408411.019,10093725938.5
2070.0,203489048.385,179819441.552,10066879.2473,27761760.7712,22075391.8484,222663554.387,63645261.3088,35418084.8337,53769513.4191,234389021.419,1199636316.91,986587243.883,228157529.936,64614897.3663,1056225141.02,87807337.2839,2300087794.1,45504246.783,97099041.8611,66143917.768,76685761.1441,23176928.0957,424152831.423,30802832.3883,397994968.056,156219034.239,11040154.5787,64413535.0763,58276171.1347,825195896.831,106436613.272,27690816.9231,286627749.179,21316872.9089,211465316.631,349453402.05,10255910308.0
