year,Angola,ArabicMiddleEast,ArabicWestAfrica,AustrailiaNewZealand,BalkanPeninsula,Brazil,BritishIsles,Canada,Caribbean,CentralAmerica,ChineseAsia,EastAfrica,EasternEurope,FrenchEurope,FrenchWestAfrica,GermanEurope,IndianSubcontinent,ItalianEurope,Japan,Korea,Madagascar,Melanesia,MiddleAfrica,NordicCountries,NorthAfrica,PersianMiddleEast,Portugal,RussianAsia,Somalia,SoutheastAsia,SouthernAfrica,Spain,SpanishSouthAmerica,Tajikistan,TurkishMiddleEast,USA,World
2015.0,27744102.1287,141363971.826,4136859.37583,27283388.9195,27310846.9096,205936953.316,68693042.5971,34622017.7391,42987100.8059,173313719.806,1385841604.41,360565839.932,291423412.063,77602369.8477,349348441.522,113917786.751,1716784859.37,66148477.8242,127124509.027,75675094.5591,24230731.7529,9963095.54907,125975692.758,32251564.0706,226431433.747,112933478.626,10478399.4785,60130773.107,14144825.9052,634059649.54,61945432.9629,46763635.3671,210786995.827,8653389.76793,112090184.779,316151543.896,7324815225.87
2020.0,32660104.9829,152916526.411,4703384.60481,28128311.6654,27042034.5896,213788511.197,69850431.5162,35144220.8967,44943549.0005,185428727.389,1414321987.95,413132958.424,288424142.707,78593586.1105,399545046.407,113207769.142,1826676294.26,65420081.8086,125427653.804,77004553.9467,27689161.0983,10965463.149,146093531.973,32464943.5969,248262177.664,122004419.262,10306965.9092,64473747.9485,16583175.9774,669755573.304,65736724.4993,46623449.2695,222581506.038,9697075.96311,121135897.737,323034429.746,7733768119.95
2025.0,38447178.8832,165413179.523,5347493.04508,28999400.312,26775868.1071,221939417.787,71027320.9415,35674300.4335,46989039.942,198390600.464,1443387670.88,473363869.878,285455741.209,79597463.194,456954218.58,112502176.873,1943601882.2,64699706.5482,123753448.168,78357369.2651,31641208.7818,12068676.9969,169424113.629,32679734.8631,272197670.786,131803947.78,10138337.107,69130396.2969,19441860.0372,707461085.558,69760057.2181,46483683.416,235035973.807,10866641.2534,130911602.559,330067161.829,8179789498.15
2030.0,45259669.7055,178931084.835,6079809.38619,29897465.1753,26512321.42,230401086.063,72224039.4314,36212375.1486,49127626.1839,212258536.78,1473050681.66,542375883.445,282517889.884,80614162.8148,522612305.562,111800982.363,2068011879.49,63987263.7224,122101589.793,79733950.8309,36157328.4802,13282883.0372,196480500.481,32895947.2096,298440836.531,142390585.156,9972467.18383,74123373.3764,22793337.1882,747289320.953,74029632.9052,46344336.5468,248187326.822,12177267.929,141476209.816,337253002.422,8667004959.73
2035.0,53279272.0131,193553701.177,6912413.32355,30823341.6654,26251368.7424,239185364.134,73440921.0801,36758565.6332,51363544.7211,227095872.135,1503323295.97,621449201.476,279610274.317,81643848.7556,597704563.869,111104158.201,2200385363.31,63282665.9829,120471780.389,81134716.1694,41318029.6569,14619247.9775,227857689.454,33113590.0382,327214162.606,153827552.836,9809311.0027,79476970.6961,26722557.3675,789359783.33,78560522.5487,46205407.4059,262074559.044,13645969.4175,152893384.182,344595284.828,9200068255.45
2040.0,62719874.9949,209371307.808,7859038.81528,31777891.0637,25992984.5422,248304551.829,74678305.6106,37312994.2973,53701225.3847,242970369.642,1534218041.75,712050667.818,276732583.326,82686686.8907,683586555.211,110411677.149,2341232076.6,62585826.9432,118863725.645,82560090.1409,47215312.8144,16090061.9866,264245696.219,33332672.8132,358761587.236,166183150.281,9648824.16497,85217234.2313,31329114.5726,833798704.287,83368719.5372,46066894.7411,276738846.328,15291811.1377,165231928.089,352097414.916,9784234448.82
2045.0,73833267.0615,226481561.791,8935300.62644,32762001.3242,25737143.5388,257771417.923,75936538.4699,37875785.3972,56145299.6182,259954529.198,1565747704.39,815860978.396,273884508.934,83742845.2133,781808617.02,109723512.138,2491094390.97,61896661.1683,117277135.182,84010505.0696,53954309.5998,17708851.7228,306444729.33,33553205.0614,393350567.258,179531162.839,9490962.9984,91372091.1408,36729771.2716,880739421.939,88471196.1147,45928797.3038,292223668.51,17136157.9904,178566196.347,359762872.706,10425443665.6
2050.0,86915851.2419,244990100.929,10158951.8975,33776587.8993,25483820.7002,267599218.01,77215970.9256,38447065.0633,58700609.6534,278125918.606,1597925332.05,934805858.843,271065746.334,84812493.8624,894143849.067,109039636.266,2650549395.24,61215084.1636,115711722.494,85486400.8749,61655157.0003,19490504.7353,355382787.601,33775196.3728,431274345.602,193951302.378,9335684.54529,97971485.636,43061417.9836,930322780.988,93885963.2896,45791113.8493,308574938.324,19202951.6993,192976544.223,367595213.98,11130417002.3
2055.0,102316550.49,265011195.961,11550176.9856,34822594.5914,25232991.2409,277801713.071,78516960.1632,39026961.3284,61372218.104,297567527.825,1630764241.03,1071091787.53,268275993.854,85895805.1502,1022620121.37,108360022.8,2820211117.67,60541012.3653,114167204.901,86988225.2046,70455139.0413,21451406.3803,412136067.732,33998656.4005,472854437.381,209529683.31,9182946.55071,105047524.664,50484543.044,982697555.334,99632134.4111,45653843.1366,325841137.535,21519021.6017,208549811.678,375598071.932,11906766401.8
2060.0,120446113.735,286668456.065,13131924.4097,35900994.4312,24984630.6192,288393188.736,79839869.3869,39615604.1566,64165417.9956,318368147.995,1664278021.32,1227246926.69,265514952.928,86992953.5896,1169556681.2,107684645.174,3000732890.51,59874363.1295,112643303.496,88516433.5707,80511134.1669,23609590.5131,477952630.943,34223594.8618,518443355.676,226359336.854,9032707.45108,112634634.113,59187300.5049,1038020894.46,105729992.637,45516983.9283,344073460.685,24114432.924,225379846.685,383775158.853,12763120574.4
2065.0,141788070.889,310095592.016,14930285.3902,37012790.5825,24738714.5353,299388475.29,81185067.9198,40213125.472,67085743.2522,340622776.949,1698480542.16,1406168020.9,262782328.064,88104115.923,1337606020.02,107013476.988,3192809865.83,59215054.7225,111139743.095,90071489.4878,92002411.9326,25984905.3398,554279849.086,34450021.5381,568427600.116,244540766.595,8884926.36283,120769726.295,69390279.2782,1096458794.97,112201062.529,45380534.991,363325966.891,27022877.0623,243568070.78,392130267.855,13709269361.1
