Angola,ArabicMiddleEast,ArabicWestAfrica,AustrailiaNewZealand,BalkanPeninsula,Brazil,BritishIsles,Canada,Caribbean,CentralAmerica,ChineseAsia,EastAfrica,EasternEurope,FrenchEurope,FrenchWestAfrica,GermanEurope,IndianSubcontinent,ItalianEurope,Japan,Korea,Madagascar,Melanesia,MiddleAfrica,NordicCountries,NorthAfrica,PersianMiddleEast,Portugal,RussianAsia,Somalia,SoutheastAsia,SouthernAfrica,Spain,SpanishSouthAmerica,Tajikistan,TurkishMiddleEast,USA,World
27755176.5653,141388613.189,4137956.79453,27284610.4324,27320173.5214,205947699.585,68695538.4377,34623216.4574,43016781.928,173328743.638,1386325688.27,360751025.185,291434802.051,77608680.214,349469887.212,113915259.862,1716955940.25,66149859.5637,127128811.851,75677439.1474,24236607.2625,9964792.41881,126023761.846,32254058.3192,226476891.262,112946368.943,10478775.3946,60139526.3642,14150821.1673,634119419.386,61956447.3654,46765162.535,210790271.502,8655020.14863,112102230.667,316165846.744,7326141905.49
32684644.2932,152956982.373,4705744.91995,28130762.6775,27052432.6322,213809552.75,69856150.9884,35146615.0634,44977581.9597,185458442.126,1414870122.91,413448219.23,288452671.05,78603438.0958,399805454.609,113209776.119,1827017819.82,65423862.2831,125436492.472,77009424.4989,27702054.7654,10968936.2212,146198075.228,32468955.0322,248342892.244,122029351.791,10307694.3219,64489394.7032,16596707.0494,669867922.083,65755535.0844,46626426.6022,222600024.869,9700466.98478,121160463.114,323064087.282,7735935178.25
38489611.8408,165471871.666,5351441.87123,29003155.8552,26787315.6349,221971524.514,71036372.1124,35677925.8777,47027759.5924,198436987.621,1444002287.23,473843227.186,285501054.953,79610946.3973,457391058.24,112508661.478,1944134986.63,64705832.8508,123766700.992,78364853.8912,31663005.8783,12074266.7552,169601961.465,32685283.5215,272320022.517,131842774.919,10139406.3937,69153887.3119,19465349.864,707631747.771,69787577.8566,46488102.2507,235071432.465,10872194.184,130950630.819,330112836.558,8182944056.97
45325572.6562,179010725.027,6085737.8775,29902603.7511,26524796.8152,230445071.613,72236533.0968,36217268.509,49171388.8545,212323783.188,1473734282.58,543060517.634,282579641.515,80631368.5483,523270950.273,111811888.88,2068759705.16,63995683.8195,122119137.521,79744139.9589,36190309.6987,13290980.5231,196752421.59,32903053.3265,298612108.419,142445379.273,9973866.00786,74155760.8404,22829820.6505,747524510.35,74066860.1791,46350188.2592,248241564.186,12185455.2529,141531876.58,337315378.435,8671320330.84
53375636.6553,193657322.856,6920790.02347,30829945.388,26264850.7106,239242088.133,73456970.8259,36764764.3742,51412729.4781,227182388.966,1504078459.47,622388817.425,279688121.684,81664870.0737,598639790.76,111119431.434,2201373231.34,63293328.7014,120493506.164,81147702.5991,41364945.6127,14630301.5204,228249219.921,33122274.0502,327442655.41,153900629.661,9811028.30679,79519417.9181,26775820.3462,789666228.703,78608542.4552,46212683.4105,262149566.807,13657346.1812,152968122.131,344675068.425,9205748597.92
62855435.0535,209502300.434,7870423.52351,31786045.8086,26007452.1081,248374922.204,74698027.8759,37320536.7256,53756235.3629,243080813.094,1535047422.72,713305105.927,276826189.572,82711618.6196,684864311.488,110431262.417,2342487671.03,62598681.958,118889514.964,82575969.0994,47279471.7642,16104584.7751,264788133.094,33342955.3596,359056748.065,166277094.637,9650849.16529,85271026.2072,31403862.7893,834183687.787,83428714.7043,46075586.4907,276836780.345,15307027.9971,165328454.293,352195335.253,9791520252.7
74018896.323,226643708.795,8950360.61336,32771796.8821,25752576.042,257856393.335,75960052.6106,37884710.6787,56206563.4275,260091822.977,1566654036.66,817502114.268,273993542.42,83771783.9814,783508100.18,109747355.271,2492647957.55,61911658.9897,117306875.85,84029374.2683,54039680.6328,17727430.3209,307176320.04,33565106.9858,393723133.506,179648856.94,9493285.17855,91438646.0665,36831835.0414,881210820.06,88544453.5648,45938896.2897,292346860.936,17155976.2047,178687542.334,359879682.452,10434618207.7
87165047.9902,245187621.472,10178480.8492,33788118.1369,25500197.7911,267699810.406,77243399.2794,38457413.2404,58768582.8631,278293278.348,1598911430.53,936919841.564,271189880.567,84845538.1305,896359954.447,109067683.6,2652433956.07,61232176.1251,115745304.588,85508360.567,61766491.3318,19513808.6558,356350152.444,33788738.7251,431736505.978,194095956.935,9338293.6504,98052367.4496,43198000.2466,930889108.431,93973882.7917,45802611.6009,308725910.599,19228260.3515,193126089.045,367731689.997,11141813944.8
102646026.468,265248790.901,11575117.1236,34835957.6174,25250292.8764,277918990.352,78548428.1169,39038773.3374,61447384.8093,297768487.633,1631833003.88,1073781674.93,268414907.418,85933055.2427,1025466319.69,108392221.176,2822462702.76,60560150.6114,114204520.724,87013378.2444,70598112.4753,21480198.8423,413395899.562,34013860.439,473420012.013,209704871.716,9185832.58177,105144456.705,50664519.5171,983368011.909,99736237.465,45666731.2212,326022614.267,21550857.365,208731318.27,375755015.974,11920778734.2
120876509.48,286951358.522,13163392.2988,35916292.7691,25002837.0592,288528277.555,79875505.4437,39628921.8457,64248292.4711,318606589.256,1665432432.15,1230635785.76,265668329.415,87034511.7264,1173168399.14,107720941.928,3003390787.64,59895500.6038,112684247.54,88544885.4744,80692514.3003,23644740.5242,479573724.333,34240482.0546,519127997.449,226569032.739,9035860.65927,112749513.992,59421582.5558,1038805415.26,105851932.134,45531253.9512,344288384.5,24154002.7375,225597501.829,383953398.279,12780211135.4
