Angola,ArabicMiddleEast,ArabicWestAfrica,AustrailiaNewZealand,BalkanPeninsula,Brazil,BritishIsles,Canada,Caribbean,CentralAmerica,ChineseAsia,EastAfrica,EasternEurope,FrenchEurope,FrenchWestAfrica,GermanEurope,IndianSubcontinent,ItalianEurope,Japan,Korea,Madagascar,Melanesia,MiddleAfrica,NordicCountries,NorthAfrica,PersianMiddleEast,Portugal,RussianAsia,Somalia,SoutheastAsia,SouthernAfrica,Spain,SpanishSouthAmerica,Tajikistan,TurkishMiddleEast,USA,World
27748723.6092,141379753.062,4137351.47449,27284395.0381,27320208.1847,205944520.967,68695443.9521,34623163.6518,43015958.8002,173320798.987,1386318572.06,360693339.567,291435303.037,77608647.5515,349417945.418,113915368.511,1716892945.32,66149915.5142,127128900.481,75677255.3673,24233069.105,9963954.1931,126000371.046,32254099.5458,226457154.564,112939427.362,10478781.1608,60136423.1301,14147995.1197,634100687.551,61954926.6214,46765208.1097,210784211.236,8653958.69089,112096084.126,316165101.336,7325839963.45
27748723.6092,141379753.062,4137351.47449,27284395.0381,27320208.1847,205944520.967,68695443.9521,34623163.6518,43015958.8002,173320798.987,1386318572.06,360693339.567,291435303.037,77608647.5515,349417945.418,113915368.511,1716892945.32,66149915.5142,127128900.481,75677255.3673,24233069.105,9963954.1931,126000371.046,32254099.5458,226457154.564,112939427.362,10478781.1608,60136423.1301,14147995.1197,634100687.551,61954926.6214,46765208.1097,210784211.236,8653958.69089,112096084.126,316165101.336,7325839963.45
27748723.6092,141379753.062,4137351.47449,27284395.0381,27320208.1847,205944520.967,68695443.9521,34623163.6518,43015958.8002,173320798.987,1386318572.06,360693339.567,291435303.037,77608647.5515,349417945.418,113915368.511,1716892945.32,66149915.5142,127128900.481,75677255.3673,24233069.105,9963954.1931,126000371.046,32254099.5458,226457154.564,112939427.362,10478781.1608,60136423.1301,14147995.1197,634100687.551,61954926.6214,46765208.1097,210784211.236,8653958.69089,112096084.126,316165101.336,7325839963.45
27748723.6092,141379753.062,4137351.47449,27284395.0381,27320208.1847,205944520.967,68695443.9521,34623163.6518,43015958.8002,173320798.987,1386318572.06,360693339.567,291435303.037,77608647.5515,349417945.418,113915368.511,1716892945.32,66149915.5142,127128900.481,75677255.3673,24233069.105,9963954.1931,126000371.046,32254099.5458,226457154.564,112939427.362,10478781.1608,60136423.1301,14147995.1197,634100687.551,61954926.6214,46765208.1097,210784211.236,8653958.69089,112096084.126,316165101.336,7325839963.45
27748723.6092,141379753.062,4137351.47449,27284395.0381,27320208.1847,205944520.967,68695443.9521,34623163.6518,43015958.8002,173320798.987,1386318572.06,360693339.567,291435303.037,77608647.5515,349417945.418,113915368.511,1716892945.32,66149915.5142,127128900.481,75677255.3673,24233069.105,9963954.1931,126000371.046,32254099.5458,226457154.564,112939427.362,10478781.1608,60136423.1301,14147995.1197,634100687.551,61954926.6214,46765208.1097,210784211.236,8653958.69089,112096084.126,316165101.336,7325839963.45
27748723.6092,141379753.062,4137351.47449,27284395.0381,27320208.1847,205944520.967,68695443.9521,34623163.6518,43015958.8002,173320798.987,1386318572.06,360693339.567,291435303.037,77608647.5515,349417945.418,113915368.511,1716892945.32,66149915.5142,127128900.481,75677255.3673,24233069.105,9963954.1931,126000371.046,32254099.5458,226457154.564,112939427.362,10478781.1608,60136423.1301,14147995.1197,634100687.551,61954926.6214,46765208.1097,210784211.236,8653958.69089,112096084.126,316165101.336,7325839963.45
27748723.6092,141379753.062,4137351.47449,27284395.0381,27320208.1847,205944520.967,68695443.9521,34623163.6518,43015958.8002,173320798.987,1386318572.06,360693339.567,291435303.037,77608647.5515,349417945.418,113915368.511,1716892945.32,66149915.5142,127128900.481,75677255.3673,24233069.105,9963954.1931,126000371.046,32254099.5458,226457154.564,112939427.362,10478781.1608,60136423.1301,14147995.1197,634100687.551,61954926.6214,46765208.1097,210784211.236,8653958.69089,112096084.126,316165101.336,7325839963.45
27748723.6092,141379753.062,4137351.47449,27284395.0381,27320208.1847,205944520.967,68695443.9521,34623163.6518,43015958.8002,173320798.987,1386318572.06,360693339.567,291435303.037,77608647.5515,349417945.418,113915368.511,1716892945.32,66149915.5142,127128900.481,75677255.3673,24233069.105,9963954.1931,126000371.046,32254099.5458,226457154.564,112939427.362,10478781.1608,60136423.1301,14147995.1197,634100687.551,61954926.6214,46765208.1097,210784211.236,8653958.69089,112096084.126,316165101.336,7325839963.45
27748723.6092,141379753.062,4137351.47449,27284395.0381,27320208.1847,205944520.967,68695443.9521,34623163.6518,43015958.8002,173320798.987,1386318572.06,360693339.567,291435303.037,77608647.5515,349417945.418,113915368.511,1716892945.32,66149915.5142,127128900.481,75677255.3673,24233069.105,9963954.1931,126000371.046,32254099.5458,226457154.564,112939427.362,10478781.1608,60136423.1301,14147995.1197,634100687.551,61954926.6214,46765208.1097,210784211.236,8653958.69089,112096084.126,316165101.336,7325839963.45
27748723.6092,141379753.062,4137351.47449,27284395.0381,27320208.1847,205944520.967,68695443.9521,34623163.6518,43015958.8002,173320798.987,1386318572.06,360693339.567,291435303.037,77608647.5515,349417945.418,113915368.511,1716892945.32,66149915.5142,127128900.481,75677255.3673,24233069.105,9963954.1931,126000371.046,32254099.5458,226457154.564,112939427.362,10478781.1608,60136423.1301,14147995.1197,634100687.551,61954926.6214,46765208.1097,210784211.236,8653958.69089,112096084.126,316165101.336,7325839963.45
27748723.6092,141379753.062,4137351.47449,27284395.0381,27320208.1847,205944520.967,68695443.9521,34623163.6518,43015958.8002,173320798.987,1386318572.06,360693339.567,291435303.037,77608647.5515,349417945.418,113915368.511,1716892945.32,66149915.5142,127128900.481,75677255.3673,24233069.105,9963954.1931,126000371.046,32254099.5458,226457154.564,112939427.362,10478781.1608,60136423.1301,14147995.1197,634100687.551,61954926.6214,46765208.1097,210784211.236,8653958.69089,112096084.126,316165101.336,7325839963.45
27748723.6092,141379753.062,4137351.47449,27284395.0381,27320208.1847,205944520.967,68695443.9521,34623163.6518,43015958.8002,173320798.987,1386318572.06,360693339.567,291435303.037,77608647.5515,349417945.418,113915368.511,1716892945.32,66149915.5142,127128900.481,75677255.3673,24233069.105,9963954.1931,126000371.046,32254099.5458,226457154.564,112939427.362,10478781.1608,60136423.1301,14147995.1197,634100687.551,61954926.6214,46765208.1097,210784211.236,8653958.69089,112096084.126,316165101.336,7325839963.45
